"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.744166661E-3,1.407073975E-2,9.602232056E0,-8.698411560E-1
1.032441667E-1,-4.767585754E-1,1.006806335E1,-8.126600647E-1
2.037451667E-1,3.981719971E-2,9.835297394E0,-6.694079590E-1
3.042441667E-1,3.742218018E-2,1.021386017E1,-6.393205261E-1
4.047451667E-1,-2.059267731E0,1.007435028E1,-2.556683350E-1
5.052441667E-1,-3.351530457E-1,1.053149963E1,-3.637435913E-2
6.057451667E-1,1.477427673E-1,9.881401520E0,2.514770508E-2
7.062441667E-1,-1.763333130E-1,9.792935486E0,1.682501221E-1
8.067451667E-1,-2.863545227E-1,9.831704865E0,6.152206421E-2
9.072441667E-1,-3.354524231E-1,9.802665253E0,-7.439529419E-2
1.007745167E0,-2.588117981E-1,9.751022644E0,2.160008240E-1
1.108245167E0,-1.425036621E-1,9.727072449E0,-1.496887207E-3
1.208746167E0,-4.297563171E-1,9.696086884E0,6.384223938E-1
1.309245167E0,-4.008663940E-1,9.760003967E0,1.648072815E-1
1.409746167E0,-2.990780640E-1,9.554930420E0,2.442919922E-1
1.510245167E0,-8.047265625E-1,9.741442566E0,-8.842112732E-1
1.610746167E0,-6.646179199E-2,9.644294586E0,-5.568420410E-1
1.711246833E0,-6.089337158E-1,9.852212219E0,-1.022224274E0
1.811747833E0,-4.186793518E-1,9.847272491E0,-1.085093536E0
1.912246833E0,-2.306703186E-1,9.796977081E0,-9.942324829E-1
2.012747833E0,-4.025129700E-1,9.688752136E0,-8.720864868E-1
2.113246833E0,-4.327500916E-1,9.612261200E0,-6.679110718E-1
2.213747833E0,-4.489164734E-1,9.650431824E0,-7.957452393E-1
2.314247833E0,-1.516346741E-1,9.724677429E0,-9.136999512E-1
2.414747833E0,-5.668711853E-1,9.799970856E0,-6.852749634E-1
2.515247833E0,-2.900967407E-1,9.810598755E0,-1.227148132E0
2.615748833E0,-3.860472107E-1,9.734706573E0,-7.917036438E-1
2.716248042E0,-2.177970886E-1,9.869426422E0,-9.800120544E-1
2.816749042E0,-2.841091919E-1,9.828112335E0,-9.307644653E-1
2.917249042E0,-2.540217590E-1,9.774374084E0,-1.066532135E0
3.017749042E0,-2.987786865E-1,9.773625641E0,-8.812174988E-1
3.118249042E0,-2.754272461E-1,9.742490387E0,-8.437953186E-1
3.218750042E0,-5.279521179E-1,9.920021210E0,-1.271905060E0
3.319249042E0,-2.775228882E-1,9.633966064E0,-5.852828979E-1
3.419750042E0,-6.490502930E-1,9.710307312E0,-6.060896301E-1
3.520250042E0,-5.876779175E-1,9.804012451E0,-1.197809143E0
3.620749917E0,-1.718426514E-1,9.720635834E0,-6.828799438E-1
3.721249917E0,-4.917274475E-1,9.772278442E0,-7.803273010E-1
3.821750917E0,-4.444258118E-1,9.773775330E0,-6.086343384E-1
