"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.602485600E-2,9.481559694E-2,9.759426117E0,3.804588020E-1
1.436729290E-1,1.926222295E-1,9.810872078E0,3.257229924E-1
2.413210020E-1,5.593222752E-2,9.810872078E0,3.035893738E-1
3.389690750E-1,1.444666684E-1,9.789336205E0,3.786641955E-1
4.366171480E-1,1.426720470E-1,9.753743172E0,3.801597059E-1
5.342651690E-1,1.642074585E-1,9.835697174E0,3.478565812E-1
6.319132420E-1,1.540379524E-1,9.799206734E0,3.376871049E-1
7.295613150E-1,1.480558962E-1,9.810572624E0,3.424727321E-1
8.272093880E-1,1.974078715E-1,9.813862801E0,4.325026870E-1
9.248574610E-1,7.028916478E-2,9.803693771E0,3.284149170E-1
1.022505533E0,1.217348501E-1,9.820742607E0,3.502494097E-1
1.120153606E0,1.408774406E-1,9.753145218E0,4.145565331E-1
1.217801679E0,-1.495514181E-3,9.781859398E0,4.839483798E-1
1.315449752E0,4.384847581E-1,9.761818886E0,5.153541565E-1
1.413097825E0,7.387840003E-2,9.860523224E0,6.311069727E-1
1.510745898E0,3.122633696E-1,9.784252167E0,4.815555513E-1
1.608393971E0,1.301097274E-1,9.807282448E0,2.470589429E-1
1.706042044E0,-2.898306549E-1,9.771389961E0,-3.209373355E-1
1.803690117E0,3.044866920E-1,9.801301003E0,-3.029911816E-1
1.901338190E0,5.443671346E-2,9.777072906E0,-4.339981973E-1
1.998986263E0,-8.644071966E-2,9.806983948E0,-6.637091637E-1
2.096634336E0,-4.486542661E-3,9.799804688E0,-6.999006271E-1
2.194282461E0,-6.281159353E-3,9.803094864E0,-5.841478109E-1
2.291930533E0,-2.123630047E-2,9.865009308E0,-2.605185509E-1
2.389578606E0,-5.533402413E-2,9.787840843E0,-5.303093195E-1
2.487226679E0,1.707877219E-1,9.795318604E0,-3.376871049E-1
2.584874752E0,-9.332008660E-2,9.826724052E0,-3.059822023E-1
2.682522877E0,3.858426586E-2,9.757631302E0,-5.500500798E-1
2.780170950E0,-7.627122104E-2,9.807282448E0,-4.073780477E-1
2.877819023E0,2.509472668E-1,9.809675217E0,-1.648056656E-1
2.975467148E0,3.302095234E-1,9.804291725E0,-2.488535494E-1
3.073115221E0,5.084748194E-2,9.797113419E0,-4.106681943E-1
3.170763294E0,6.131608039E-2,9.797411919E0,-3.008974493E-1
3.268411419E0,1.381855011E-1,9.834201813E0,-1.695913076E-1
3.366059492E0,-8.973084623E-4,9.774381638E0,-4.791627228E-1
