"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.018916666E-2,5.364172161E-2,9.760598093E-2,1.373609435E-2
1.094481667E-1,-7.762339711E-2,7.344780117E-2,4.560719058E-2
2.087081667E-1,-1.155109107E-1,1.266709119E-1,3.063447028E-2
3.079671667E-1,-6.136062741E-1,-1.428105682E-1,-1.555791944E-1
4.072261667E-1,-4.380169213E-1,2.207702026E-2,6.313368678E-1
5.064861667E-1,-5.620101839E-2,2.788985372E-1,4.430215806E-3
6.057451667E-1,-1.357513666E-2,2.028425923E-3,-3.789520636E-2
7.050041667E-1,3.172955662E-2,-4.530388117E-2,-9.758143686E-3
8.042631667E-1,3.697973490E-2,-1.276917458E-1,-4.413509276E-3
9.035231667E-1,3.033799678E-2,4.483464733E-2,-2.276439220E-2
1.002782167E0,9.848764166E-3,-6.093257293E-2,-9.559000842E-3
1.102042167E0,1.912274770E-2,-6.912394613E-2,1.768514514E-3
1.201301167E0,5.062393099E-2,-1.193080768E-1,-1.949749887E-2
1.300561167E0,1.303747892E-1,-2.533475123E-2,-4.131053388E-2
1.399820167E0,2.096113116E-1,7.260917127E-2,-4.565773904E-2
1.499079167E0,2.157326490E-1,2.958817482E-1,-1.577224769E-2
1.598339167E0,1.375559568E-1,-6.646478921E-2,2.894004062E-2
1.697598833E0,1.707261801E-1,2.325699031E-1,-4.127459228E-2
1.796858833E0,5.929023772E-2,9.596744180E-2,-1.648428105E-2
1.896117833E0,8.276846260E-2,3.203706071E-2,2.132451162E-3
1.995376833E0,-5.857220665E-2,-1.454716772E-1,1.832783967E-2
2.094636833E0,-3.285855986E-3,4.418328777E-2,-3.769515082E-3
2.193895833E0,9.929249994E-3,8.634767495E-3,-1.851518452E-2
2.293155833E0,-2.330000512E-3,-5.331424251E-2,2.021154389E-2
2.392414833E0,-7.803248707E-3,1.112272218E-1,1.341173612E-2
2.491674833E0,-1.384924911E-2,4.215796292E-2,1.681687683E-2
2.590933833E0,-5.466600880E-2,-1.062492654E-1,2.667911723E-2
2.690193042E0,-7.510835771E-3,2.093426324E-2,2.312008478E-2
2.789453042E0,1.328729279E-2,9.804593027E-2,-1.461262442E-2
2.888712042E0,-4.864953924E-3,-2.973796101E-3,-2.077194862E-3
2.987972042E0,-2.429235354E-2,-4.056121409E-2,-7.140153088E-3
3.087231042E0,2.236047946E-2,-1.009727176E-2,-4.732065368E-3
3.186491042E0,1.071548089E-2,-2.857735753E-2,-2.235783264E-2
3.285750042E0,-7.881634682E-2,-1.673533618E-1,-8.119614795E-4
3.385009042E0,2.153953724E-2,1.256129295E-1,-5.225957930E-2
3.484269042E0,4.441536963E-2,1.946088076E-1,-1.958615519E-2
