"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.043688800E-2,1.351499557E-2,-2.061609551E-2,1.687465608E-2
1.680849610E-1,-1.168245357E-2,2.924431302E-2,-1.908897655E-3
2.657330330E-1,-3.512371797E-3,2.061609412E-3,2.748812549E-3
3.633810540E-1,-1.114796288E-2,-4.046862945E-3,5.497625098E-3
4.610291270E-1,1.458397787E-2,-5.245650932E-2,8.933641016E-3
5.586772000E-1,3.436015919E-3,7.788302377E-3,3.817795368E-4
6.563252730E-1,2.901524538E-3,-8.933641016E-3,-4.046862945E-3
7.539733460E-1,1.374406274E-3,-3.367295489E-2,-7.864658721E-3
8.516214190E-1,-5.650337320E-3,-3.886515647E-2,-8.704573847E-3
9.492694920E-1,-1.908897609E-2,-7.513421029E-2,-2.137965523E-3
1.046917513E0,-3.016058356E-2,-7.605048269E-2,1.290414855E-2
1.144565586E0,5.497625098E-3,-5.077667907E-2,8.475505747E-3
1.242213658E0,2.084516361E-2,-1.965401024E-1,1.298050396E-2
1.339861731E0,1.149156392E-1,-1.200314835E-1,-1.313321572E-2
1.437509804E0,1.138466597E-1,-1.811925620E-1,-1.855448633E-2
1.535157877E0,1.366770715E-1,-5.741964281E-2,-3.458922729E-2
1.632806002E0,1.149156392E-1,4.642439261E-2,-2.244863659E-2
1.730454075E0,1.137702987E-1,2.099787444E-2,-3.741439432E-3
1.828102148E0,1.082726792E-1,5.497625470E-2,-1.885990985E-2
1.925750221E0,6.650599837E-2,1.017824262E-1,-2.130329795E-2
2.023398294E0,7.711946964E-2,7.605048269E-2,-2.496838197E-2
2.121046367E0,-2.725905925E-2,8.849649876E-2,2.825168660E-3
2.218694440E0,6.039752439E-2,5.635065958E-2,-4.352286924E-3
2.316342513E0,-1.374406274E-3,5.421269219E-3,-3.817795310E-3
2.413990638E0,-3.352024406E-2,-1.015533600E-2,1.595838554E-2
2.511638711E0,-1.603474095E-2,3.374931216E-2,6.261184346E-3
2.609286783E0,-8.322793990E-3,5.818320066E-2,1.229330152E-2
2.706934856E0,-1.397313084E-2,3.871244565E-2,1.771457121E-2
2.804582981E0,-3.817795310E-3,-8.276980370E-2,2.382304333E-2
2.902231054E0,-2.130329795E-2,-8.070819080E-2,2.214321308E-2
2.999879127E0,-5.650337320E-3,8.147175610E-2,-3.054236295E-4
3.097527252E0,-4.123218823E-3,3.436015919E-3,-5.879404955E-3
3.195175325E0,9.009997360E-3,-3.084778599E-2,-9.162709117E-3
3.292823398E0,6.566607859E-3,-2.542651631E-2,-9.849912487E-3
3.390471523E0,-2.275406010E-2,-1.106397063E-1,5.421269219E-3
3.488119596E0,4.703523964E-2,-9.422318637E-2,-1.114796288E-2
3.585767721E0,5.344913341E-3,-3.710897267E-2,7.101099472E-3
3.683415794E0,-5.192201585E-2,4.504998680E-3,1.458397787E-2
3.781063919E0,7.635590620E-3,2.802261710E-2,-1.527118147E-3
3.878711992E0,-2.748812735E-2,-6.337540224E-3,7.711946499E-3
3.976360117E0,-3.122956678E-2,-2.267770469E-2,-2.977880416E-3
4.074008190E0,-8.887827396E-2,-1.490467340E-1,-1.901262067E-2
4.171656315E0,-2.084516361E-2,2.809897438E-2,-3.275668249E-2
4.269304388E0,-1.756185899E-3,-1.870719716E-2,-2.870982140E-2
4.366952513E0,-2.573194169E-2,-7.612683624E-2,-2.099787444E-2
4.464600638E0,-1.328592747E-2,-5.092938989E-2,-2.695363574E-2
4.562248711E0,1.023169141E-2,1.557660475E-2,-2.809897438E-2
4.659896836E0,-9.620844387E-3,5.291464552E-2,-1.229330152E-2
4.757544961E0,-5.803048983E-2,-9.139802307E-2,-1.221694518E-3
4.855193033E0,-2.302130610E-1,-1.665322334E-1,1.748550311E-2
4.952841158E0,-1.642415524E-1,1.252236869E-2,-4.359922186E-2
5.050489283E0,-7.706601620E-1,5.573981442E-3,1.107160673E-1
5.148137408E0,-4.867689013E-1,-2.979407609E-1,3.526879251E-1
5.245785481E0,6.669688225E-1,4.729484916E-1,3.174115121E-1
5.343433606E0,8.229639530E-1,-8.639671206E-1,-2.743467689E-1
5.441081731E0,-1.587439328E-1,1.591257155E-1,-1.307213157E-1
5.538729856E0,-8.202915192E-1,6.504759789E-1,3.386384547E-1
5.636377981E0,3.471139669E-1,4.367557913E-2,-1.426328421E-1
5.734026106E0,-4.982222915E-1,2.872432947E0,-2.630461156E-1
5.831674231E0,1.064935803E0,-3.528482914E0,-5.743491650E-1
5.929322356E0,3.679591119E-1,1.123424411E0,1.438545287E-1
6.026970481E0,-2.150182426E-1,-9.856020808E-1,4.947862774E-2
6.124618606E0,-9.361234307E-2,5.509078503E-1,-1.137703005E-2
6.222266731E0,2.076880634E-2,-2.389939874E-1,-3.909422457E-2
6.319914856E0,-6.734590977E-2,6.306997687E-2,-1.779092662E-2
6.417562981E0,3.008422814E-2,1.136175916E-1,6.184828468E-3
6.515211106E0,-3.359659761E-2,-2.267770469E-2,-2.786990628E-2
6.612859231E0,-5.017346740E-1,-3.198548853E-1,6.444438547E-2
6.710507356E0,-3.949891031E-1,1.703500301E-1,1.414874941E-1
6.808155481E0,3.669664860E-1,5.932853818E-1,2.764083743E-1
6.905803606E0,5.509078503E-1,-8.092198968E-1,9.315420687E-2
7.003451731E0,-1.607291847E-1,-6.917845458E-2,-9.048175067E-2
7.101099856E0,-5.393781066E-1,1.211004704E-1,1.006370857E-1
7.198748033E0,-3.703261539E-2,-1.939439960E-2,1.823379099E-1
7.296396158E0,5.964923501E-1,2.349776745E0,-4.414134920E-1
7.394044283E0,5.322770476E-1,-2.195079565E0,-2.712925375E-1
7.491692408E0,-2.402920425E-1,8.420529366E-1,-2.038702741E-2
7.589340533E0,-2.039466351E-1,-6.375718117E-2,4.894413799E-2
7.686988658E0,-1.084253844E-2,-8.971819282E-2,-2.924431302E-2
7.784636836E0,4.146125913E-2,-1.448471546E-1,3.466558084E-2
7.882284961E0,-1.111742035E-1,-9.376505762E-2,-2.664821222E-2
7.979933086E0,-2.527380548E-2,-3.978142887E-2,1.527118124E-2
8.077581211E0,3.191677108E-2,-1.230857223E-1,-1.298050396E-3
8.175229388E0,9.964445978E-2,9.391776286E-3,-1.305686031E-2
8.272877513E0,5.696150661E-2,-6.261184067E-2,-8.628217503E-3
8.370525638E0,2.649549954E-2,-5.344913527E-2,-4.581354442E-4
8.468173815E0,-5.421269219E-3,-6.665870547E-2,8.322793990E-3
8.565821940E0,-1.000262424E-2,-5.047125369E-2,7.941014133E-3
8.663470065E0,-1.336228382E-2,-4.856235534E-2,8.628217503E-3
8.761118242E0,-5.650337320E-3,-4.657710344E-2,5.039489828E-3
8.858766367E0,-2.519745007E-2,-7.108735293E-2,1.221694518E-2
8.956414492E0,-7.330167107E-3,-1.504211407E-2,-9.544488043E-3
9.054062669E0,2.794626169E-2,-4.199574701E-3,-4.627167806E-2
9.151710794E0,6.581879407E-2,1.130067464E-2,-1.041494608E-1
9.249358971E0,-4.902049154E-2,3.588727675E-3,-6.589514762E-2
